Tweet ID,Tweet Content,used
1,🏇 Ready to race? Instant 16-horse races: place a bet and race instantly—no waiting for others. Play at https://pxpony.com/game #Base #GameFi,FALSE
2,🎮 Level up your crypto game! True randomness: 10 on-chain entropy sources ensure fair outcomes. Play at https://pxpony.com/game #CryptoGaming #DeFi,FALSE
3,"⚡ Instant action awaits! Fair payouts: top 3 ponies take 10x, 2.5x & 1x—better odds than traditional games. Play at https://pxpony.com/game #Web3 #Gaming",FALSE
4,🔥 Saddle up for victory! Pull-based failsafe: jackpots pay out when they reach 50% of supply; you claim your share. Play at https://pxpony.com/game #OnChain #Base,FALSE
5,"🏁 The finish line is calling! Fixed supply: 100T PONY tokens, no minting & renounceable contract—trustless fun. Play at https://pxpony.com/game #PlayToEarn #Base",FALSE
6,🤖 Let your pony run wild! Low house edge: only 10% platform fee—90% goes to winners & game operations. Play at https://pxpony.com/game #Blockchain #Gaming,FALSE
7,🌟 Be part of the next big game! ~18.75% chance to win something—chase those 10x returns. Play at https://pxpony.com/game #Crypto #HorseRacing,FALSE
8,"🕹️ Play like never before! Built on Base Mainnet: low gas, secure & EVM compatible. Play at https://pxpony.com/game #FairPlay #GameFi",FALSE
9,🎯 Aim for a 10x win! Verified contracts: open source & audited—zero security vulnerabilities. Play at https://pxpony.com/game #Innovation #GameOn,FALSE
10,💥 Enter the arena! Progressive jackpot: every bet grows the jackpot until it triggers & pays out. Play at https://pxpony.com/game #InstantRacing #Base,FALSE
11,🏇 Ready to race? Instant 16-horse races: place a bet and race instantly—no waiting for others. Play at https://pxpony.com/game #Base #GameFi,FALSE
12,🎮 Level up your crypto game! True randomness: 10 on-chain entropy sources ensure fair outcomes. Play at https://pxpony.com/game #CryptoGaming #DeFi,FALSE
13,"⚡ Instant action awaits! Fair payouts: top 3 ponies take 10x, 2.5x & 1x—better odds than traditional games. Play at https://pxpony.com/game #Web3 #Gaming",FALSE
14,🔥 Saddle up for victory! Pull-based failsafe: jackpots pay out when they reach 50% of supply; you claim your share. Play at https://pxpony.com/game #OnChain #Base,FALSE
15,"🏁 The finish line is calling! Fixed supply: 100T PONY tokens, no minting & renounceable contract—trustless fun. Play at https://pxpony.com/game #PlayToEarn #Base",FALSE
16,🤖 Let your pony run wild! Low house edge: only 10% platform fee—90% goes to winners & game operations. Play at https://pxpony.com/game #Blockchain #Gaming,FALSE
17,🌟 Be part of the next big game! ~18.75% chance to win something—chase those 10x returns. Play at https://pxpony.com/game #Crypto #HorseRacing,FALSE
18,"🕹️ Play like never before! Built on Base Mainnet: low gas, secure & EVM compatible. Play at https://pxpony.com/game #FairPlay #GameFi",FALSE
19,🎯 Aim for a 10x win! Verified contracts: open source & audited—zero security vulnerabilities. Play at https://pxpony.com/game #Innovation #GameOn,FALSE
20,💥 Enter the arena! Progressive jackpot: every bet grows the jackpot until it triggers & pays out. Play at https://pxpony.com/game #InstantRacing #Base,FALSE
